epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,536.004,0.159,536.163,499.062,0.069,499.131
1,467.735,2.359,470.093,448.007,3.707,451.713
2,436.505,4.032,440.537,429.629,4.412,434.041
3,408.89,5.048,413.938,402.204,5.002,407.206
4,388.949,5.66,394.609,389.908,5.671,395.579
5,374.02,6.014,380.034,378.004,6.197,384.201
6,364.566,6.319,370.886,377.534,6.436,383.969
7,354.496,6.663,361.159,368.569,6.784,375.353
8,346.78,6.879,353.66,368.045,6.818,374.863
9,340.089,7.112,347.201,364.491,7.125,371.616
10,334.593,7.257,341.85,359.967,7.3,367.267
11,327.852,7.415,335.267,358.876,7.449,366.325
12,323.63,7.588,331.217,356.164,7.56,363.724
13,318.921,7.708,326.629,358.689,7.558,366.247
14,315.008,7.73,322.738,355.36,7.786,363.146
15,311.528,7.872,319.4,355.0,7.682,362.682
16,307.623,7.957,315.58,352.627,7.97,360.597
17,302.999,8.028,311.026,359.228,7.889,367.117
18,300.677,8.193,308.871,361.395,7.86,369.255
19,297.432,8.223,305.655,353.951,8.133,362.085
20,293.038,8.344,301.382,358.048,8.295,366.343
21,291.83,8.43,300.261,358.079,8.065,366.144
22,288.868,8.474,297.342,359.83,8.251,368.08
23,284.966,8.631,293.596,354.54,8.454,362.994
24,281.588,8.671,290.259,364.363,8.398,372.761
25,278.708,8.768,287.476,356.956,8.521,365.478
26,277.645,8.817,286.461,361.047,8.518,369.566
27,273.426,8.964,282.39,364.546,8.704,373.25
28,270.121,9.062,279.184,360.53,8.815,369.346
29,266.235,9.134,275.369,366.468,8.837,375.305
30,267.716,9.119,276.836,365.87,8.951,374.821
31,264.141,9.175,273.317,363.971,9.099,373.07
