epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,515.018,5.53,520.548,466.17,3.78,469.95
1,453.897,5.357,459.254,449.487,7.263,456.75
2,435.542,7.585,443.128,434.038,8.73,442.768
3,411.642,10.82,422.461,409.898,11.449,421.347
4,391.988,12.891,404.878,396.113,13.758,409.872
5,377.747,15.629,393.376,381.831,15.378,397.209
6,360.416,17.537,377.953,368.39,16.954,385.344
7,348.831,18.576,367.407,364.474,17.704,382.178
8,338.807,19.699,358.506,359.88,18.724,378.604
9,330.459,20.534,350.994,358.28,19.205,377.485
10,322.555,21.529,344.084,357.134,20.409,377.543
11,318.601,22.276,340.877,348.077,20.159,368.237
12,308.521,23.329,331.85,344.014,21.619,365.633
13,301.976,24.874,326.85,343.261,22.232,365.493
14,294.409,25.476,319.886,341.476,22.824,364.3
15,287.249,26.443,313.692,337.048,23.419,360.467
16,281.007,27.396,308.403,334.878,23.882,358.761
17,273.046,28.499,301.545,332.967,24.487,357.453
18,265.379,29.114,294.493,332.844,25.036,357.88
19,259.308,30.248,289.556,329.587,26.441,356.028
20,252.787,31.22,284.007,328.78,26.295,355.076
21,246.071,31.883,277.954,327.824,25.499,353.323
22,237.883,32.792,270.675,328.898,26.081,354.979
23,231.363,33.738,265.101,331.694,26.666,358.36
24,224.257,34.489,258.746,330.938,27.042,357.98
25,216.767,35.286,252.053,330.653,27.891,358.543
26,211.152,36.423,247.574,332.455,28.899,361.354
27,204.551,36.864,241.415,331.979,30.201,362.181
28,195.114,38.188,233.302,331.654,30.755,362.409
29,187.627,38.966,226.594,332.366,29.054,361.42
30,181.539,39.541,221.08,336.348,30.751,367.1
31,175.321,40.435,215.757,338.64,31.882,370.522
32,168.677,41.034,209.712,337.291,31.69,368.981
33,161.278,41.822,203.1,342.323,32.926,375.249
34,153.222,42.652,195.873,346.1,31.109,377.208
35,147.084,43.029,190.114,350.247,31.809,382.056
36,140.042,43.645,183.687,350.111,33.204,383.315
