epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,676.145,171.082,847.227,550.18,9.024,559.204
1,500.547,9.905,510.452,456.762,9.147,465.91
2,416.165,9.318,425.483,405.987,9.487,415.474
3,383.36,8.895,392.256,394.652,8.906,403.558
4,367.493,8.846,376.338,384.476,8.726,393.202
5,360.192,8.849,369.041,378.108,8.782,386.89
6,354.179,8.993,363.173,375.285,8.872,384.156
7,347.09,8.847,355.936,371.056,8.602,379.658
8,338.475,8.675,347.149,368.527,8.498,377.024
9,341.276,8.806,350.082,367.049,9.074,376.123
10,338.009,8.884,346.894,367.493,8.746,376.239
11,330.818,8.882,339.7,364.093,8.442,372.535
12,332.868,8.923,341.791,371.555,8.943,380.498
13,331.883,9.081,340.964,365.445,8.521,373.965
14,328.738,8.952,337.689,363.51,8.64,372.15
15,327.179,8.97,336.149,362.163,8.696,370.859
16,320.572,8.696,329.269,356.746,8.296,365.043
17,319.206,8.699,327.904,360.939,9.042,369.981
18,323.394,9.087,332.481,356.763,8.877,365.64
19,314.357,9.088,323.445,358.552,8.859,367.411
20,316.544,9.053,325.596,360.101,8.649,368.751
21,316.998,9.325,326.323,357.171,8.85,366.021
22,315.504,9.322,324.826,359.321,8.955,368.276
23,312.388,9.094,321.482,366.402,8.78,375.182
24,313.573,9.479,323.052,356.283,9.423,365.706
25,306.033,9.181,315.213,356.527,8.505,365.032
26,308.278,8.89,317.168,350.954,8.899,359.853
27,306.556,9.014,315.571,356.963,8.704,365.666
28,305.814,8.942,314.756,353.834,8.643,362.477
29,302.757,8.885,311.642,357.346,8.785,366.131
30,306.55,8.932,315.482,357.479,8.751,366.229
31,301.694,9.287,310.981,352.006,9.245,361.251
32,300.62,9.324,309.944,356.866,8.963,365.829
33,299.334,9.077,308.411,369.456,9.377,378.834
34,303.482,9.546,313.027,356.099,9.261,365.36
35,298.082,9.233,307.315,356.775,8.717,365.492
36,297.765,9.023,306.788,351.683,9.065,360.747
37,294.612,9.229,303.842,349.597,9.186,358.783
38,298.689,9.479,308.168,352.4,9.227,361.627
39,296.08,9.223,305.303,354.839,8.914,363.753
40,292.43,9.335,301.765,352.424,9.067,361.491
41,291.783,9.376,301.159,360.786,9.117,369.903
42,295.592,9.554,305.146,351.48,9.164,360.645
43,291.985,9.33,301.315,353.189,9.008,362.197
44,291.688,9.487,301.175,355.988,8.944,364.933
45,292.06,9.277,301.337,356.355,9.061,365.416
46,289.581,9.251,298.831,352.72,8.981,361.701
47,288.492,9.118,297.61,351.997,8.934,360.93
48,283.927,9.113,293.04,355.853,9.005,364.858
49,285.657,9.413,295.069,355.736,8.983,364.719
50,291.571,9.343,300.914,349.683,9.274,358.956
51,283.885,9.363,293.248,355.094,9.423,364.518
52,285.786,9.216,295.003,351.757,9.025,360.782
