epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,529.858,3.404,533.263,476.762,3.16,479.922
1,454.341,5.279,459.62,446.018,6.709,452.726
2,426.538,7.725,434.264,418.093,9.033,427.126
3,391.762,10.362,402.123,393.573,10.757,404.33
4,364.712,12.801,377.513,374.011,13.05,387.061
5,342.986,14.739,357.725,358.148,14.113,372.261
6,328.507,15.676,344.183,351.454,15.644,367.098
7,312.13,16.927,329.057,345.782,16.05,361.832
8,302.055,17.97,320.025,338.839,17.286,356.126
9,291.777,18.94,310.716,335.356,18.103,353.459
10,280.625,19.951,300.576,330.055,19.008,349.063
11,270.289,20.554,290.844,326.468,18.882,345.349
12,261.154,21.549,282.703,327.968,19.791,347.759
13,252.144,22.315,274.459,326.367,20.591,346.958
14,243.784,22.97,266.754,328.689,20.64,349.329
15,235.336,23.837,259.172,325.551,21.311,346.861
16,223.324,24.479,247.803,327.513,21.511,349.023
17,217.586,25.231,242.817,326.423,22.478,348.902
18,207.201,26.099,233.3,329.077,22.621,351.698
19,199.25,26.53,225.78,328.904,23.165,352.069
20,190.999,27.328,218.326,332.292,23.484,355.776
21,183.037,28.057,211.094,340.106,24.778,364.883
22,175.416,28.835,204.251,346.472,24.169,370.641
23,165.895,29.531,195.426,345.433,24.972,370.406
24,159.296,29.886,189.183,348.944,24.39,373.334
25,151.167,30.651,181.818,356.905,26.044,382.949
26,144.098,31.109,175.206,356.238,25.7,381.937
