epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,523.428,1.688,525.116,459.802,3.465,463.267
1,438.836,3.554,442.39,424.065,5.112,429.177
2,403.671,5.474,409.145,403.941,5.912,409.853
3,384.404,6.303,390.707,391.883,6.481,398.364
4,372.557,6.78,379.337,385.627,6.891,392.518
5,361.901,7.189,369.09,384.696,6.93,391.626
6,355.593,7.391,362.984,375.191,7.324,382.516
7,353.27,7.493,360.764,371.671,7.62,379.291
8,348.226,7.804,356.03,369.155,7.511,376.666
9,341.511,7.822,349.333,368.921,7.799,376.719
10,336.559,8.012,344.571,368.636,7.571,376.207
11,333.173,8.109,341.282,363.438,7.956,371.394
12,331.469,8.175,339.644,364.669,7.909,372.578
13,328.395,8.282,336.677,362.27,8.133,370.403
14,324.579,8.316,332.895,363.52,7.852,371.372
15,324.249,8.367,332.617,361.423,7.761,369.183
16,320.04,8.481,328.521,362.853,8.13,370.982
17,317.639,8.592,326.23,362.426,8.107,370.534
18,312.669,8.691,321.36,363.915,7.901,371.816
19,313.921,8.654,322.575,363.316,8.02,371.336
20,311.452,8.757,320.209,363.337,8.536,371.873
21,307.589,8.854,316.443,362.107,8.341,370.448
22,309.139,8.837,317.976,357.9,8.327,366.227
23,306.202,8.932,315.134,354.39,8.52,362.911
24,303.339,9.071,312.409,356.944,8.441,365.385
25,302.319,9.051,311.37,359.733,8.486,368.219
26,299.839,9.107,308.946,360.322,8.606,368.929
27,300.037,9.142,309.179,359.778,8.825,368.603
28,297.377,9.204,306.581,360.9,8.734,369.634
29,294.909,9.295,304.204,358.795,8.817,367.612
30,294.859,9.3,304.159,358.409,8.748,367.158
31,292.79,9.365,302.155,358.822,8.905,367.726
32,289.851,9.482,299.333,359.942,9.126,369.068
33,290.044,9.471,299.514,362.292,8.909,371.201
34,289.866,9.316,299.182,357.58,8.891,366.471
35,288.112,9.467,297.579,357.949,8.954,366.903
36,286.207,9.564,295.771,362.013,9.321,371.334
37,283.536,9.688,293.224,357.674,9.068,366.743
38,284.629,9.68,294.309,360.616,9.059,369.675
