epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,511.715,2.518,514.233,457.212,3.54,460.752
1,433.952,4.187,438.139,428.614,4.724,433.338
2,404.166,5.329,409.495,407.87,5.511,413.381
3,386.919,5.988,392.907,395.996,6.156,402.152
4,373.99,6.456,380.446,388.747,6.453,395.2
5,367.214,6.825,374.039,386.398,6.552,392.951
6,359.384,7.081,366.465,378.432,7.173,385.605
7,354.26,7.457,361.717,376.519,7.258,383.777
8,346.386,7.708,354.094,375.308,7.217,382.525
9,342.639,7.846,350.485,373.215,7.672,380.887
10,337.136,8.033,345.169,370.865,7.634,378.499
11,333.689,8.169,341.858,366.745,7.697,374.442
12,330.956,8.284,339.239,371.228,7.845,379.073
13,326.062,8.323,334.386,366.96,7.918,374.878
14,324.44,8.364,332.803,362.343,8.098,370.441
15,320.84,8.485,329.325,367.512,7.747,375.259
16,318.938,8.565,327.502,363.113,8.044,371.156
17,314.647,8.625,323.272,360.456,8.265,368.721
18,311.387,8.627,320.014,364.432,8.311,372.743
19,311.632,8.652,320.284,359.734,8.361,368.095
20,310.005,8.686,318.691,366.558,8.28,374.838
21,309.456,8.87,318.326,362.866,8.566,371.432
22,304.74,8.967,313.707,362.045,8.244,370.289
23,302.856,8.91,311.766,363.584,8.523,372.107
24,303.221,8.975,312.196,360.171,8.402,368.573
25,299.763,9.022,308.785,364.976,8.579,373.555
26,298.813,9.149,307.962,361.393,8.593,369.986
27,295.856,9.195,305.051,361.293,8.546,369.839
28,295.925,9.254,305.18,365.545,8.569,374.114
29,295.485,9.203,304.688,363.704,8.932,372.636
30,293.089,9.257,302.345,365.216,8.586,373.802
31,291.921,9.349,301.27,361.578,8.765,370.344
32,291.103,9.358,300.46,361.975,8.828,370.803
33,288.49,9.466,297.956,357.981,8.922,366.903
34,287.637,9.515,297.152,363.621,8.818,372.439
35,286.462,9.471,295.933,366.217,9.17,375.387
36,285.118,9.46,294.578,368.001,8.858,376.86
37,280.725,9.677,290.402,364.695,9.055,373.749
38,278.994,9.731,288.724,361.368,9.071,370.439
39,281.717,9.57,291.288,365.612,8.854,374.466
40,279.787,9.762,289.548,365.425,8.996,374.421
41,277.746,9.727,287.473,367.299,8.97,376.269
42,277.138,9.785,286.923,367.513,9.172,376.685
43,276.923,9.766,286.689,363.602,9.143,372.745
44,275.321,9.866,285.187,372.614,9.058,381.672
45,273.263,9.913,283.175,367.861,9.165,377.026
46,273.355,9.875,283.231,365.939,9.441,375.38
47,270.81,9.911,280.722,369.284,9.346,378.629
48,271.801,9.958,281.76,370.64,9.544,380.184
