epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,515.571,5.835,521.407,463.892,5.423,469.315
1,451.148,5.345,456.493,449.541,7.988,457.529
2,435.641,7.937,443.579,433.611,10.145,443.757
3,410.333,10.898,421.231,406.343,11.532,417.875
4,389.501,13.602,403.103,389.855,14.197,404.052
5,375.134,15.708,390.842,379.946,15.993,395.94
6,359.51,17.419,376.93,368.813,18.162,386.975
7,346.398,18.732,365.129,362.814,18.521,381.334
8,340.494,19.758,360.252,355.442,19.794,375.236
9,330.907,20.605,351.512,354.255,20.023,374.278
10,324.108,21.363,345.471,346.849,22.304,369.153
11,317.698,22.589,340.287,343.949,20.737,364.686
12,309.522,23.398,332.92,338.036,22.907,360.943
13,301.919,24.607,326.525,336.877,24.004,360.881
14,296.751,25.345,322.096,332.85,23.721,356.571
15,288.482,26.701,315.183,332.373,24.134,356.507
16,283.885,27.103,310.988,325.57,25.615,351.185
17,275.632,28.505,304.137,328.286,27.087,355.373
18,268.751,29.179,297.93,331.763,26.26,358.023
19,263.094,30.423,293.517,326.871,26.108,352.979
20,253.888,31.461,285.349,325.141,28.844,353.985
21,246.59,32.419,279.009,324.249,27.281,351.53
22,239.318,33.169,272.487,326.159,29.25,355.409
23,232.526,34.151,266.677,326.995,27.858,354.853
24,225.978,35.029,261.007,322.717,29.957,352.673
25,219.087,36.017,255.104,323.228,31.192,354.42
26,211.266,37.391,248.658,327.421,30.243,357.664
27,203.216,38.611,241.827,323.132,32.306,355.438
28,195.529,39.246,234.774,329.432,32.983,362.415
29,187.103,39.975,227.079,329.113,34.077,363.19
30,181.987,40.943,222.93,331.238,33.989,365.227
31,172.629,42.374,215.003,334.667,34.019,368.686
