epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,530.484,0.735,531.219,500.216,0.199,500.415
1,464.146,2.296,466.442,454.102,2.694,456.796
2,436.205,3.04,439.245,438.511,3.098,441.609
3,420.5,3.473,423.974,426.643,3.459,430.103
4,408.193,3.674,411.867,420.863,3.741,424.604
5,401.748,3.906,405.654,413.645,3.792,417.437
6,396.229,3.937,400.166,414.753,3.879,418.631
7,391.943,4.081,396.024,409.686,3.971,413.658
8,388.232,4.1,392.332,407.482,4.102,411.584
9,388.434,4.178,392.612,407.414,4.229,411.642
10,381.086,4.39,385.477,402.959,4.304,407.263
11,380.427,4.399,384.826,401.401,4.219,405.62
12,378.963,4.489,383.453,400.609,4.63,405.239
13,373.694,4.641,378.335,399.328,4.49,403.818
14,373.176,4.596,377.772,398.623,4.63,403.253
15,370.377,4.687,375.064,395.914,4.646,400.56
16,371.372,4.785,376.158,396.514,4.634,401.148
17,367.471,4.809,372.28,396.402,4.563,400.966
18,365.131,4.911,370.043,396.179,4.739,400.918
19,364.96,5.008,369.968,394.094,4.904,398.998
20,360.411,5.278,365.689,394.45,5.035,399.485
21,357.983,5.436,363.419,392.331,5.204,397.535
22,356.626,5.663,362.289,387.453,5.459,392.912
23,352.472,5.834,358.305,383.098,5.632,388.73
24,347.146,6.168,353.314,380.735,5.984,386.719
25,341.808,6.444,348.251,376.079,6.46,382.539
26,334.754,6.811,341.564,376.952,6.745,383.697
27,329.25,7.12,336.37,372.578,6.738,379.317
28,325.493,7.247,332.74,368.649,6.936,375.586
29,318.411,7.45,325.861,378.803,7.242,386.045
30,315.137,7.518,322.655,363.092,7.031,370.123
31,313.459,7.669,321.128,364.849,7.361,372.21
32,310.201,7.781,317.981,365.875,7.521,373.396
33,304.69,7.864,312.554,364.4,7.746,372.146
34,300.962,7.992,308.954,362.254,7.793,370.048
35,299.493,8.067,307.56,362.481,8.003,370.484
36,295.692,8.292,303.985,368.665,8.034,376.699
37,292.623,8.354,300.977,368.168,8.169,376.337
38,290.37,8.368,298.739,372.144,7.957,380.102
39,287.903,8.42,296.323,367.934,8.255,376.189
40,284.16,8.604,292.764,369.618,8.164,377.782
41,281.132,8.616,289.748,368.525,8.407,376.932
42,277.874,8.664,286.538,368.097,8.446,376.543
43,276.082,8.751,284.833,375.4,8.61,384.01
44,273.774,8.969,282.743,368.189,8.557,376.746
45,272.732,8.91,281.642,373.725,8.601,382.326
46,270.049,9.057,279.106,372.888,8.608,381.496
47,268.189,9.024,277.213,381.864,8.875,390.739
48,265.992,9.199,275.191,381.633,8.794,390.427
49,262.964,9.241,272.205,389.495,8.892,398.387
