epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,518.485,4.172,522.657,459.792,5.058,464.85
1,449.814,5.228,455.041,432.364,6.559,438.923
2,420.352,7.892,428.244,399.784,10.419,410.203
3,380.049,11.658,391.707,366.884,12.787,379.671
4,352.38,14.035,366.414,352.248,13.569,365.817
5,333.926,15.479,349.406,340.761,15.505,356.267
6,319.258,16.454,335.713,335.878,15.723,351.6
7,306.042,17.889,323.931,328.474,17.626,346.1
8,292.775,19.117,311.892,324.497,18.227,342.724
9,279.626,20.328,299.953,316.25,18.579,334.83
10,267.374,21.304,288.678,316.001,20.033,336.034
11,257.997,22.175,280.172,313.884,20.038,333.922
12,246.185,23.12,269.306,314.884,21.496,336.381
13,235.007,24.015,259.022,315.846,21.229,337.075
14,227.348,24.878,252.226,311.459,21.871,333.33
15,218.084,25.683,243.767,313.232,21.796,335.028
16,207.239,26.445,233.683,314.996,23.117,338.113
17,198.193,27.102,225.294,319.637,23.686,343.323
18,190.329,27.885,218.215,317.771,23.038,340.809
19,180.231,28.616,208.847,325.274,24.223,349.496
20,173.276,28.984,202.26,322.995,24.711,347.706
21,162.229,30.037,192.266,325.554,24.712,350.266
22,155.097,30.642,185.739,330.335,24.984,355.32
23,147.861,31.188,179.049,333.833,25.788,359.621
24,140.186,31.552,171.738,343.146,25.815,368.961
25,133.011,32.183,165.194,341.772,25.953,367.724
26,125.309,32.642,157.951,347.601,25.326,372.926
27,117.791,33.057,150.848,356.069,26.311,382.38
28,111.878,33.26,145.138,353.944,26.421,380.365
29,105.531,33.652,139.182,363.142,26.716,389.858
