epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,474.209,4.422,478.631,394.809,5.764,400.573
1,362.945,6.731,369.676,331.544,7.445,338.989
2,321.459,7.539,328.998,309.8,7.874,317.674
3,303.91,7.812,311.722,298.574,7.915,306.489
4,293.453,8.001,301.453,291.51,7.476,298.986
5,286.105,8.186,294.291,284.006,7.948,291.954
6,280.062,8.278,288.339,280.576,7.967,288.544
7,274.491,8.471,282.962,275.738,7.921,283.659
8,269.714,8.531,278.245,271.468,8.223,279.691
9,265.503,8.633,274.136,268.926,8.488,277.414
10,263.341,8.632,271.973,267.173,8.752,275.925
11,259.612,8.704,268.316,264.057,8.596,272.653
12,256.299,8.768,265.067,263.355,8.746,272.101
13,254.552,8.935,263.487,260.364,8.869,269.233
14,252.152,8.943,261.096,260.125,9.307,269.431
15,248.906,8.927,257.833,258.768,8.702,267.47
16,246.657,8.98,255.638,259.149,8.654,267.803
17,245.91,9.006,254.916,254.533,8.758,263.29
18,244.596,9.109,253.705,253.611,9.212,262.823
19,242.288,9.183,251.471,252.476,9.02,261.496
20,240.187,9.275,249.463,253.45,8.671,262.121
21,239.223,9.403,248.626,252.977,8.37,261.347
22,238.032,9.375,247.407,252.447,8.203,260.65
23,236.021,9.43,245.451,249.888,8.871,258.76
24,233.675,9.461,243.135,247.607,9.566,257.173
25,232.157,9.463,241.621,247.112,9.372,256.483
26,230.767,9.506,240.273,246.265,9.338,255.603
27,229.769,9.592,239.361,243.886,9.438,253.323
