epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,519.231,5.357,524.588,467.317,6.137,473.454
1,451.687,5.365,457.052,449.69,7.189,456.879
2,432.775,7.983,440.759,424.694,10.713,435.407
3,407.478,10.94,418.418,406.924,11.746,418.67
4,386.466,13.319,399.785,390.381,14.212,404.593
5,368.089,15.701,383.79,377.326,15.488,392.814
6,356.233,17.105,373.338,371.159,17.055,388.215
7,343.836,18.391,362.226,358.692,18.81,377.503
8,334.419,19.363,353.782,352.991,19.9,372.89
9,324.463,20.418,344.881,345.849,19.499,365.348
10,317.137,21.772,338.909,344.063,20.013,364.076
11,306.868,22.759,329.627,339.905,20.733,360.637
12,298.336,23.565,321.901,332.285,22.9,355.186
13,288.936,24.981,313.917,330.316,23.096,353.412
14,281.186,26.005,307.191,328.815,23.81,352.624
15,274.428,26.806,301.235,327.853,25.184,353.036
16,264.429,27.865,292.294,323.567,24.261,347.827
17,257.01,28.972,285.981,324.592,25.46,350.052
18,248.413,29.784,278.197,324.934,25.186,350.12
19,240.601,30.519,271.12,321.506,26.593,348.099
20,234.024,31.559,265.583,319.698,28.004,347.701
21,224.479,32.682,257.161,320.828,28.062,348.89
22,216.902,33.526,250.428,322.486,29.283,351.769
23,207.669,34.558,242.226,321.171,28.432,349.603
24,200.16,35.474,235.635,322.523,29.605,352.128
25,192.232,36.279,228.51,327.891,29.91,357.801
26,182.846,37.16,220.006,333.475,30.879,364.354
27,174.977,38.514,213.491,331.922,31.119,363.041
28,165.39,39.322,204.712,337.601,31.473,369.075
29,158.388,39.921,198.309,339.274,33.554,372.828
30,151.051,40.626,191.677,336.871,32.729,369.6
31,142.143,41.166,183.31,342.116,33.261,375.377
32,136.718,42.129,178.847,347.306,33.895,381.202
33,126.967,42.402,169.369,354.198,32.588,386.786
34,122.769,42.62,165.388,351.494,33.61,385.103
35,115.072,43.219,158.291,360.271,34.323,394.595
