epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,656.414,447.53,1103.944,577.155,9.709,586.864
1,490.704,8.932,499.636,445.704,8.819,454.523
2,411.096,8.566,419.663,412.134,8.466,420.6
3,380.539,8.895,389.435,388.428,8.621,397.049
4,366.965,8.615,375.581,379.162,8.506,387.668
5,355.447,8.599,364.046,377.898,8.869,386.767
6,351.007,8.697,359.704,372.717,8.391,381.108
7,346.261,8.662,354.922,373.211,8.135,381.346
8,342.898,8.472,351.37,370.824,8.286,379.11
9,339.141,8.673,347.814,371.803,8.55,380.352
10,333.888,8.647,342.535,368.756,8.324,377.079
11,336.142,8.773,344.915,370.849,8.266,379.115
12,330.656,8.621,339.278,366.509,8.502,375.012
13,328.377,8.634,337.01,364.792,7.994,372.786
14,327.032,8.652,335.684,359.47,8.248,367.718
15,325.243,8.508,333.751,362.285,8.227,370.513
16,322.405,8.401,330.806,367.363,8.105,375.468
17,323.301,8.764,332.064,361.412,8.426,369.839
18,324.028,8.815,332.843,366.509,8.921,375.43
19,323.35,9.021,332.371,362.214,8.503,370.718
20,321.347,8.841,330.188,358.741,8.453,367.194
21,318.102,8.593,326.695,362.927,8.578,371.505
22,319.986,9.112,329.098,370.003,8.396,378.399
23,314.277,8.939,323.217,357.77,8.481,366.25
24,316.021,8.791,324.813,359.975,8.89,368.865
25,312.791,9.092,321.884,358.142,8.779,366.921
26,311.09,8.824,319.914,361.058,8.576,369.634
27,306.365,8.82,315.185,355.867,8.41,364.277
28,309.249,8.813,318.063,355.76,8.987,364.747
29,305.046,8.822,313.868,359.201,8.777,367.978
30,301.931,8.879,310.81,356.589,8.457,365.046
31,304.255,9.002,313.257,358.152,8.666,366.818
32,304.589,9.162,313.75,355.336,9.062,364.398
33,307.725,9.12,316.845,355.421,9.365,364.786
34,299.963,9.269,309.232,356.577,8.753,365.33
35,301.307,9.124,310.431,353.695,8.92,362.615
36,297.259,9.168,306.427,353.052,9.201,362.253
37,301.432,9.502,310.934,358.776,9.058,367.835
38,297.543,9.171,306.714,355.514,9.082,364.596
39,296.842,9.404,306.246,350.939,10.116,361.055
40,292.497,9.552,302.049,357.732,8.676,366.408
41,294.145,9.226,303.372,351.893,8.654,360.547
42,293.945,9.12,303.065,353.401,8.826,362.227
43,294.771,9.294,304.065,354.417,8.832,363.249
44,291.991,9.463,301.454,353.35,9.293,362.643
45,291.703,9.429,301.132,360.151,8.931,369.082
46,293.914,9.359,303.273,352.613,9.156,361.77
47,286.829,9.371,296.2,352.855,8.704,361.559
48,291.736,9.281,301.016,352.784,8.8,361.583
49,285.368,9.153,294.521,354.152,8.61,362.762
50,289.778,9.38,299.158,351.15,9.13,360.28
51,286.003,9.343,295.346,356.205,9.387,365.593
52,286.181,9.575,295.755,351.044,9.413,360.457
53,285.629,9.358,294.987,354.435,9.098,363.533
54,286.033,9.506,295.539,354.098,9.381,363.479
55,284.713,9.562,294.276,354.169,9.242,363.411
56,283.103,9.673,292.776,354.908,8.894,363.802
57,280.393,9.488,289.881,353.103,9.079,362.182
58,280.031,9.589,289.62,352.019,9.116,361.135
59,278.994,9.417,288.411,352.619,9.247,361.866
60,281.173,9.308,290.481,355.29,9.099,364.389
61,281.872,9.557,291.428,353.582,8.896,362.478
62,279.581,9.546,289.126,349.838,9.351,359.189
63,277.695,9.594,287.289,354.787,9.333,364.119
64,276.819,9.504,286.323,347.865,9.426,357.29
65,276.628,9.58,286.208,351.745,9.281,361.026
66,276.189,9.611,285.8,355.327,9.399,364.725
67,279.915,9.624,289.54,352.333,9.254,361.587
68,274.232,9.748,283.979,355.188,9.465,364.653
69,274.203,9.678,283.881,352.465,9.222,361.687
70,275.113,9.554,284.667,357.24,9.059,366.299
71,275.428,9.561,284.99,353.291,9.241,362.532
72,274.887,9.559,284.446,351.19,9.144,360.334
73,273.577,9.665,283.242,346.493,9.522,356.015
74,272.187,9.77,281.958,346.383,9.377,355.76
75,272.305,9.559,281.864,351.815,9.579,361.394
76,270.643,9.602,280.245,355.496,9.845,365.341
77,270.593,9.749,280.342,349.796,9.694,359.491
78,270.044,9.593,279.637,348.096,9.153,357.248
79,268.609,9.574,278.183,353.217,9.379,362.596
80,268.85,9.584,278.434,353.054,9.038,362.092
81,267.501,9.635,277.137,350.841,9.331,360.172
82,271.357,9.689,281.046,345.639,9.527,355.166
83,263.92,9.635,273.555,350.182,9.044,359.226
84,269.987,9.616,279.604,350.187,9.507,359.694
85,268.075,9.571,277.646,348.019,9.343,357.362
86,264.749,9.646,274.396,342.593,9.425,352.018
87,268.725,9.655,278.38,359.405,9.619,369.025
88,265.056,9.623,274.679,344.764,9.151,353.915
89,259.64,9.515,269.156,350.24,9.501,359.741
90,266.805,9.826,276.631,354.66,9.737,364.397
91,265.084,9.853,274.937,360.248,9.775,370.024
92,263.202,9.804,273.007,352.784,9.726,362.509
93,263.232,9.768,273.0,352.083,9.745,361.828
94,263.627,9.861,273.488,351.782,9.554,361.336
95,262.753,9.735,272.488,352.67,9.482,362.152
96,261.528,9.691,271.219,354.284,9.704,363.988
97,264.91,10.009,274.918,348.227,9.877,358.104
98,264.066,9.968,274.034,356.113,9.598,365.711
99,261.52,9.872,271.391,348.621,9.606,358.227
