epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,469.398,6.815,476.213,404.716,7.215,411.931
1,370.857,7.059,377.916,339.195,7.823,347.018
2,326.897,7.657,334.554,313.687,8.024,321.712
3,307.414,8.036,315.45,300.632,8.098,308.73
4,296.081,8.2,304.282,291.674,8.32,299.993
5,288.586,8.255,296.842,286.526,8.47,294.997
6,282.963,8.328,291.291,283.773,8.731,292.504
7,277.232,8.546,285.778,280.514,7.85,288.364
8,273.152,8.652,281.804,275.559,8.062,283.621
9,267.824,8.667,276.491,270.342,8.716,279.058
10,264.414,8.713,273.126,268.555,8.858,277.413
11,260.777,8.808,269.585,267.805,8.636,276.442
12,258.477,8.895,267.372,265.302,8.44,273.741
13,256.44,8.891,265.331,263.079,8.744,271.822
14,253.934,9.074,263.007,260.91,8.549,269.46
15,252.229,9.172,261.401,260.836,8.451,269.287
16,249.985,9.097,259.083,259.007,8.49,267.497
17,246.836,9.212,256.048,255.777,8.803,264.58
18,245.993,9.216,255.209,254.124,9.293,263.417
19,243.749,9.291,253.04,253.185,9.241,262.426
20,240.48,9.299,249.779,250.659,9.475,260.134
21,237.839,9.302,247.141,249.029,9.348,258.377
22,236.534,9.355,245.889,247.74,9.533,257.273
23,235.098,9.341,244.44,247.21,9.54,256.75
24,234.229,9.391,243.62,247.967,9.143,257.111
25,233.334,9.428,242.762,248.593,8.894,257.486
26,232.488,9.417,241.905,245.582,9.528,255.109
27,230.357,9.437,239.793,246.912,9.367,256.279
28,229.162,9.44,238.602,242.972,9.533,252.505
29,227.045,9.472,236.517,241.402,9.757,251.159
30,225.47,9.458,234.928,241.849,9.66,251.509
31,223.874,9.474,233.348,240.615,9.479,250.094
32,222.775,9.498,232.273,239.902,9.579,249.481
33,222.419,9.577,231.996,241.477,9.249,250.726
34,222.067,9.582,231.649,240.523,9.321,249.845
35,220.73,9.654,230.384,239.092,9.123,248.215
36,219.941,9.685,229.626,240.141,9.377,249.518
37,219.359,9.712,229.071,241.09,9.497,250.588
38,219.631,9.876,229.507,237.514,9.799,247.312
39,218.715,9.834,228.549,239.118,10.152,249.27
40,217.137,9.822,226.959,235.288,9.595,244.883
41,215.927,9.835,225.761,236.531,9.324,245.855
42,214.437,9.784,224.221,236.144,9.377,245.521
43,213.668,9.808,223.476,233.078,9.84,242.918
44,212.802,9.848,222.65,233.934,9.71,243.644
45,210.651,9.806,220.457,232.484,9.443,241.927
46,209.228,9.831,219.059,232.923,9.264,242.188
47,208.609,9.849,218.458,232.426,9.449,241.875
48,208.331,9.819,218.15,236.197,9.163,245.36
49,208.798,9.947,218.745,234.726,9.289,244.014
50,210.523,10.036,220.559,231.895,9.81,241.706
51,209.334,9.971,219.304,231.622,9.928,241.55
52,207.71,10.038,217.748,233.996,9.906,243.902
53,206.369,10.02,216.389,234.711,9.79,244.501
54,206.113,10.027,216.141,231.039,10.087,241.126
55,204.557,10.006,214.563,229.625,9.72,239.345
56,202.87,10.004,212.874,228.64,9.699,238.339
57,201.075,9.967,211.043,229.358,9.612,238.97
58,199.819,9.979,209.798,229.113,9.591,238.704
59,199.103,10.014,209.117,229.127,9.77,238.897
60,198.616,9.992,208.608,228.434,9.717,238.151
61,198.18,10.004,208.184,227.274,9.523,236.798
62,197.618,9.963,207.582,227.443,9.595,237.038
63,197.078,9.992,207.07,227.201,9.81,237.011
64,196.482,10.043,206.525,226.936,9.809,236.745
65,196.135,10.056,206.191,227.781,9.869,237.65
66,195.878,10.114,205.993,228.166,10.05,238.216
67,195.662,10.146,205.808,230.137,10.149,240.285
68,196.361,10.122,206.483,228.29,10.29,238.58
69,196.309,10.244,206.553,227.513,10.195,237.708
70,196.597,10.286,206.883,228.547,10.004,238.551
71,196.189,10.342,206.532,228.023,9.929,237.953
72,195.846,10.354,206.2,232.83,10.048,242.878
73,196.228,10.341,206.569,231.214,9.83,241.044
74,196.287,10.374,206.661,229.232,10.132,239.364
75,195.365,10.386,205.751,226.018,10.402,236.419
76,193.561,10.39,203.951,226.653,9.916,236.57
77,192.024,10.437,202.461,227.277,9.925,237.202
78,190.055,10.34,200.395,225.008,9.846,234.854
79,188.239,10.335,198.574,224.537,10.147,234.685
80,186.979,10.305,197.284,224.556,10.095,234.65
81,186.393,10.246,196.639,224.532,10.157,234.689
82,185.758,10.228,195.986,224.11,10.069,234.18
83,185.187,10.258,195.445,223.3,10.035,233.335
84,184.69,10.252,194.941,222.711,10.054,232.765
85,184.243,10.298,194.541,222.751,10.109,232.86
86,183.733,10.244,193.977,222.623,10.169,232.792
87,183.571,10.3,193.871,223.598,10.308,233.905
88,183.484,10.38,193.865,224.272,10.385,234.657
89,183.56,10.396,193.956,224.983,10.494,235.477
90,182.861,10.458,193.319,224.624,10.475,235.099
91,182.626,10.363,192.989,226.066,10.311,236.377
92,183.093,10.441,193.535,225.198,10.354,235.552
93,184.017,10.561,194.578,227.748,10.311,238.06
94,185.563,10.51,196.073,230.546,10.468,241.015
95,186.65,10.65,197.3,225.364,10.802,236.167
96,184.233,10.624,194.858,228.036,10.583,238.619
97,182.609,10.552,193.161,224.862,10.769,235.63
98,180.645,10.558,191.203,224.633,11.088,235.721
99,179.366,10.506,189.872,223.837,10.779,234.616
