epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,517.357,5.63,522.986,464.831,4.243,469.073
1,455.359,4.979,460.338,451.931,6.705,458.636
2,438.934,7.585,446.519,432.059,8.914,440.973
3,417.692,10.703,428.395,408.174,12.127,420.301
4,393.07,13.358,406.428,396.796,12.498,409.294
5,378.703,14.848,393.551,387.121,14.294,401.414
6,364.592,16.418,381.01,377.452,15.396,392.848
7,352.183,17.995,370.179,370.572,16.033,386.606
8,345.048,18.943,363.991,363.751,18.563,382.313
9,336.223,19.895,356.118,358.031,18.408,376.439
10,326.606,20.993,347.599,354.578,19.668,374.246
11,319.192,21.984,341.176,351.671,19.462,371.133
12,312.969,23.367,336.336,345.269,21.255,366.524
13,305.222,24.387,329.609,342.778,22.802,365.58
14,298.806,25.407,324.213,341.518,23.55,365.068
15,289.763,26.586,316.349,335.238,25.443,360.681
16,280.876,27.35,308.226,334.97,24.567,359.537
17,276.288,27.914,304.202,333.216,25.047,358.263
18,268.413,29.357,297.771,333.057,25.567,358.624
19,260.766,30.182,290.948,331.131,26.208,357.338
20,256.814,30.923,287.738,331.506,27.343,358.849
21,246.172,32.306,278.478,327.867,27.688,355.555
22,239.358,33.401,272.759,330.917,28.123,359.04
23,233.088,34.088,267.176,330.883,28.332,359.215
24,226.548,34.903,261.451,333.04,28.877,361.918
25,220.143,36.112,256.254,334.005,29.806,363.811
26,211.955,37.086,249.041,334.114,30.827,364.94
27,204.294,38.307,242.602,336.979,31.194,368.174
28,197.278,38.441,235.719,334.632,32.276,366.908
29,189.109,39.682,228.792,342.269,31.09,373.36
30,182.494,40.378,222.872,337.912,31.072,368.984
31,173.944,40.987,214.931,340.753,32.492,373.245
32,167.01,42.204,209.214,345.217,32.425,377.643
33,161.27,42.228,203.498,346.657,34.386,381.043
34,153.422,42.919,196.34,357.995,34.029,392.024
35,146.24,43.75,189.99,359.04,34.981,394.021
36,141.12,44.264,185.384,357.739,35.388,393.127
