epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,515.998,5.67,521.668,462.239,5.296,467.536
1,453.146,5.073,458.219,446.106,7.136,453.243
2,434.838,7.978,442.816,424.837,10.205,435.042
3,404.086,11.86,415.946,395.559,13.159,408.717
4,382.743,14.212,396.955,378.499,15.005,393.504
5,366.468,16.277,382.745,367.959,16.435,384.394
6,350.425,17.709,368.134,360.974,18.268,379.242
7,342.006,18.796,360.803,355.594,18.295,373.889
8,331.705,19.476,351.181,348.118,18.852,366.97
9,321.77,20.861,342.631,341.521,20.778,362.299
10,313.556,21.954,335.509,337.914,20.975,358.889
11,304.915,22.794,327.71,333.795,21.29,355.085
12,296.287,24.104,320.391,329.595,21.783,351.378
13,285.637,25.236,310.872,327.47,23.084,350.554
14,279.615,26.408,306.024,328.641,23.862,352.503
15,269.924,27.332,297.256,322.891,25.102,347.993
16,263.144,28.409,291.552,319.111,25.54,344.652
17,253.856,29.606,283.462,318.909,26.716,345.626
18,244.319,30.593,274.912,319.688,27.746,347.435
19,236.217,31.306,267.523,318.364,27.404,345.768
20,227.426,32.484,259.91,315.914,27.532,343.446
21,219.888,33.55,253.438,319.15,29.744,348.894
22,210.948,34.58,245.528,317.933,29.771,347.704
23,202.518,35.284,237.801,320.364,30.583,350.947
24,191.812,36.417,228.229,322.627,30.566,353.193
25,184.615,37.19,221.805,325.539,30.383,355.922
26,175.741,38.259,214.0,327.809,32.205,360.014
27,167.058,39.225,206.283,331.728,32.518,364.246
28,157.996,39.84,197.836,328.45,31.694,360.143
29,149.09,40.459,189.549,335.77,32.735,368.505
30,142.741,40.973,183.714,337.462,33.027,370.488
31,134.704,41.905,176.609,340.963,32.861,373.824
32,129.162,41.992,171.154,346.966,32.837,379.803
33,120.057,42.731,162.787,355.011,33.8,388.811
34,114.146,42.896,157.042,353.199,33.626,386.825
35,107.859,43.387,151.246,358.004,33.859,391.863
