epoch,train_logpx_z,train_kl,train_total,valid_logpx_z,valid_kl,valid_total
0,514.427,6.104,520.53,467.037,4.662,471.699
1,451.809,5.098,456.908,453.882,6.576,460.458
2,431.674,8.253,439.928,426.864,9.718,436.581
3,406.679,11.13,417.809,405.809,11.95,417.759
4,384.004,13.855,397.859,393.439,13.725,407.164
5,367.263,15.955,383.217,376.1,15.12,391.219
6,351.429,17.877,369.306,364.098,17.93,382.028
7,341.407,18.984,360.391,359.02,18.886,377.906
8,329.907,20.04,349.947,355.625,20.092,375.717
9,321.225,21.044,342.269,348.735,20.668,369.403
10,311.197,22.18,333.377,343.375,20.349,363.724
11,305.006,23.23,328.236,343.307,21.17,364.478
12,296.245,24.507,320.752,339.846,22.881,362.728
13,285.222,25.455,310.677,332.452,24.205,356.657
14,278.107,26.541,304.648,333.559,23.841,357.4
15,270.718,27.467,298.185,332.581,24.38,356.961
16,262.103,28.229,290.332,332.288,25.647,357.936
17,252.72,29.45,282.17,327.2,26.211,353.411
18,244.82,30.323,275.143,327.959,26.337,354.296
19,236.271,31.492,267.763,329.02,26.834,355.855
20,231.444,32.473,263.917,327.513,26.84,354.353
21,221.079,33.525,254.603,328.508,28.126,356.634
22,210.753,34.732,245.485,330.047,27.954,358.001
23,204.399,35.198,239.596,333.561,28.718,362.279
24,196.217,36.343,232.561,332.654,30.512,363.166
25,186.498,37.398,223.896,334.347,30.008,364.355
26,179.785,37.848,217.634,338.459,29.872,368.331
27,170.105,39.294,209.4,340.454,31.691,372.145
28,163.919,39.359,203.278,344.364,31.824,376.189
29,155.763,40.309,196.072,344.022,31.803,375.825
30,146.874,40.919,187.793,343.61,32.836,376.446
31,141.047,41.496,182.543,349.018,32.138,381.156
32,133.062,42.09,175.151,347.27,32.515,379.785
